Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
17993636,O mie de cocori,Yasunari Kawabata,"Kawabata, Yasunari",George T. Sipos,"=""9735027402""","=""9789735027407""",5.0,Humanitas,Paperback,136,2010,1952,2017/02/22,2017/02/19,,,read,,,,1,0
22920772,Printre tonuri cenușii,Ruta Sepetys,"Sepetys, Ruta",Gabriela Stoica,"=""6069356543""","=""9786069356548""",0,Epica,Paperback,320,2014,2011,,2017/02/21,to-read,to-read (#6),to-read,,,,0,0
32718394,Zgomotul timpului,Julian Barnes,"Barnes, Julian",Virgil Stanciu,"=""6067586223""","=""9786067586220""",0,Nemira,Paperback,208,2016,2016,,2017/02/19,to-read,to-read (#5),to-read,,,,0,0
18514025,Băiatul cu pijamale în dungi,John Boyne,"Boyne, John",Lucia Ostafi-Iliescu,"=""9731037047""","=""9789731037042""",5.0,RAO,Paperback,224,2008,2006,,2017/02/19,,,read,,,,1,0
15745753,Eleanor & Park,Rainbow Rowell,"Rowell, Rainbow",,"=""1250012570""","=""9781250012579""",5.0,St. Martin's Press,Hardcover,328,2013,2012,2017/02/16,2017/02/09,,,read,"I felt like parts of my life and experience in this world have been simply brought into a book. I tried to read it slowly, to feel the power and emotion of every word inside the pages. Their love story is different, as wonderful as the characters who won my heart. I enjoyed the open ending, it is the best way of letting the reader give life to the love between Eleanor and Park. I think that somehow and somewhere, everyone will find his own brave Eleanor and her amazing Park, the different parts  used to complete the heart's puzzle.",,,2,0
18050379,Flori pentru Algernon,Daniel Keyes,"Keyes, Daniel",,"=""9731248927""","=""9789731248929""",5.0,Editura Art,Hardcover,312,2013,1966,,2017/02/15,,,read,,,,1,0
39988,Matilda,Roald Dahl,"Dahl, Roald",Quentin Blake,"=""043512398X""","=""9780435123987""",5.0,New Windmills,Hardcover,240,1992,1988,,2017/02/15,,,read,,,,2,0
5107,The Catcher in the Rye,J.D. Salinger,"Salinger, J.D.",,"=""0316769177""","=""9780316769174""",5.0,Back Bay Books,Paperback,277,2001,1951,,2017/01/25,,,read,,,,2,0
27855953,"Orașul pustiu (Miss Peregrine's Peculiar Children, #2)",Ransom Riggs,"Riggs, Ransom",Gabriella Eftimie,"=""6069384997""","=""9786069384992""",4.0,Art,Hardcover,472,2015,2014,,2017/02/10,,,read,,,,1,0
17689,Franz Kafka's The Castle (Dramatization),David Fishelson,"Fishelson, David","Aaron Leichter, Max Brod, Franz Kafka","=""082221900X""","=""9780822219002""",0,Dramatist's Play Service,Paperback,59,2003,2003,,2017/02/10,to-read,to-read (#4),to-read,,,,0,0
